number,value,datetime_start,datetime_complete,duration,params_algorithm,params_batch_size,params_d_model,params_dropout,params_irm_lambda,params_kernel_length,params_lr,params_mixup_alpha,params_n_filters_1,params_n_filters_2,params_n_head,params_n_layers,params_net_architecture,params_weight_decay,state
76,0.513671875,2025-06-12 02:29:09.340662,2025-06-12 02:42:00.009758,0 days 00:12:50.669096,IRM,32,64,0.49300024939593384,0.38547056862765067,64,0.0011741187770312803,,8,16,2,2,eegnet,0.0008245396643153096,COMPLETE
14,0.51171875,2025-06-11 19:23:12.118376,2025-06-11 19:38:40.367092,0 days 00:15:28.248716,IRM,32,64,0.3993818465578735,1.7831341037874249,64,0.0009213970229881034,,8,16,2,2,eegnet,0.0006642725446091939,COMPLETE
15,0.509765625,2025-06-11 19:38:40.378659,2025-06-11 19:55:10.085399,0 days 00:16:29.706740,IRM,32,64,0.40381991837887926,1.8311278495792649,64,0.0019360547318396273,,8,16,2,2,eegnet,0.0009818073546196545,COMPLETE
34,0.5078125,2025-06-11 22:15:32.122522,2025-06-11 22:30:30.771073,0 days 00:14:58.648551,IRM,32,128,0.4617895935404802,1.6041442972387423,64,0.0012994162576180424,,8,16,2,2,eegnet,0.0006435841882426582,COMPLETE
103,0.5078125,2025-06-12 05:12:00.678168,2025-06-12 05:24:39.700481,0 days 00:12:39.022313,IRM,32,64,0.49109431708822343,1.929850205672388,64,0.0011593319714397633,,8,16,2,2,eegnet,0.00039903475209275254,COMPLETE
75,0.505859375,2025-06-12 02:16:17.687479,2025-06-12 02:29:09.330215,0 days 00:12:51.642736,IRM,32,64,0.4880253500516791,0.3699805583368492,64,0.0012646332978474236,,8,16,2,2,eegnet,0.0007758717739327416,COMPLETE
105,0.5,2025-06-12 05:31:31.525166,2025-06-12 05:44:11.911105,0 days 00:12:40.385939,IRM,32,64,0.49105630715115517,1.9700192311200229,64,0.001148712419365681,,8,16,2,2,eegnet,0.0004037648598373975,COMPLETE
95,0.5,2025-06-12 04:21:55.338443,2025-06-12 04:34:06.699634,0 days 00:12:11.361191,IRM,32,64,0.4706508269440379,1.2826328967926155,64,0.0010600673105755603,,8,16,2,2,eegnet,0.0005104903653201135,COMPLETE
139,0.498046875,2025-06-12 08:13:46.695540,2025-06-12 08:24:05.414744,0 days 00:10:18.719204,IRM,32,64,0.3514117239558748,2.053643036924959,64,0.0010976408537522115,,8,16,2,2,eegnet,0.0008387229105231204,COMPLETE
85,0.498046875,2025-06-12 03:24:49.085938,2025-06-12 03:37:02.643818,0 days 00:12:13.557880,IRM,32,64,0.49547662689363403,0.9706247691852703,64,0.0009994874401888113,,8,16,2,2,eegnet,0.00033224313556197974,COMPLETE
96,0.49609375,2025-06-12 04:34:06.710263,2025-06-12 04:46:18.659641,0 days 00:12:11.949378,IRM,32,64,0.4719120738500209,2.002547342805462,64,0.0010481640377311304,,8,16,2,2,eegnet,0.0006656694780862068,COMPLETE
77,0.494140625,2025-06-12 02:42:00.020420,2025-06-12 02:50:54.030280,0 days 00:08:54.009860,Mixup,32,64,0.4899153844458157,,64,0.0012554658452502583,0.24861965963423766,8,16,2,2,eegnet,0.0008180088899044308,COMPLETE
63,0.4921875,2025-06-12 01:07:06.810001,2025-06-12 01:20:00.304669,0 days 00:12:53.494668,IRM,32,64,0.41015622730748036,0.28475623709411424,64,0.0010631604470841222,,8,16,2,2,eegnet,0.00044620539331316386,COMPLETE
18,0.490234375,2025-06-11 20:07:54.146845,2025-06-11 20:20:40.417676,0 days 00:12:46.270831,IRM,32,64,0.31709089185215167,0.7705205325878547,64,0.0012290451616070828,,8,16,2,2,eegnet,0.00040554153789602165,COMPLETE
31,0.490234375,2025-06-11 21:44:48.770295,2025-06-11 21:57:29.754450,0 days 00:12:40.984155,IRM,32,64,0.425987681033994,1.0501099127926015,64,0.0008322452673493433,,8,16,2,2,eegnet,0.0005285983167380936,COMPLETE
52,0.48828125,2025-06-11 23:56:45.377993,2025-06-12 00:09:18.139664,0 days 00:12:32.761671,IRM,32,64,0.4087167018147688,0.28325894120579426,64,0.0011218328198316515,,8,16,2,2,eegnet,0.0005488379702375654,COMPLETE
142,0.486328125,2025-06-12 08:33:29.845437,2025-06-12 08:42:36.718358,0 days 00:09:06.872921,IRM,32,64,0.48934294957914093,1.4603063186294964,64,0.0008646805626408474,,8,16,2,2,eegnet,0.0009837961505736214,PRUNED
136,0.486328125,2025-06-12 07:58:45.884356,2025-06-12 08:07:31.734191,0 days 00:08:45.849835,IRM,32,64,0.48360669047503924,0.8542818773434601,64,0.0010089743677139569,,8,16,2,2,eegnet,0.0006484469945413286,PRUNED
53,0.486328125,2025-06-12 00:09:18.151061,2025-06-12 00:21:50.054669,0 days 00:12:31.903608,IRM,32,64,0.3885493548727882,0.25122632986069743,64,0.0012030128491131165,,8,16,2,2,eegnet,0.0002912938895801363,COMPLETE
32,0.486328125,2025-06-11 21:57:29.765046,2025-06-11 22:09:51.586139,0 days 00:12:21.821093,IRM,32,64,0.4149778685302781,0.31731629191498084,64,0.0010553190761907407,,8,16,2,2,eegnet,0.0005485882796080638,COMPLETE
23,0.484375,2025-06-11 20:56:05.077617,2025-06-11 21:08:20.661041,0 days 00:12:15.583424,IRM,32,64,0.4258772635222334,1.1191383275791575,64,0.000861837952108377,,8,16,2,2,eegnet,0.0005178061780515805,COMPLETE
72,0.482421875,2025-06-12 01:57:32.075419,2025-06-12 02:06:38.062349,0 days 00:09:05.986930,IRM,32,64,0.3878026826180208,0.2945815250032669,64,0.0010146745064083234,,8,16,2,2,eegnet,0.0005451070940347446,PRUNED
41,0.48046875,2025-06-11 22:51:52.472377,2025-06-11 23:04:45.587209,0 days 00:12:53.114832,IRM,32,128,0.44724220281407506,1.4868435680165146,64,0.0008147358118761487,,8,16,2,2,eegnet,0.0004725655062211524,COMPLETE
22,0.4765625,2025-06-11 20:43:41.607497,2025-06-11 20:56:05.067026,0 days 00:12:23.459529,IRM,32,64,0.35464583269432554,0.41860484685946603,64,0.0013259173333958851,,8,16,2,2,eegnet,7.879144775003038e-05,COMPLETE
58,0.4765625,2025-06-12 00:42:15.994168,2025-06-12 00:50:50.169610,0 days 00:08:34.175442,IRM,32,64,0.43719406124199134,0.14613093925892315,64,0.002933354199437635,,16,16,2,2,eegnet,0.0009963232639332927,COMPLETE
111,0.4765625,2025-06-12 06:05:19.539532,2025-06-12 06:14:03.956329,0 days 00:08:44.416797,IRM,32,64,0.48870234087542774,1.9284698816352508,64,0.000921711286725435,,8,16,4,2,eegnet,0.00030567474040224963,PRUNED
90,0.47265625,2025-06-12 03:53:54.078972,2025-06-12 04:02:36.982093,0 days 00:08:42.903121,IRM,32,64,0.47612181012172516,0.7544697979770408,64,0.0011594979211835001,,8,16,2,2,eegnet,0.00046211935159144393,PRUNED
20,0.47265625,2025-06-11 20:24:52.224831,2025-06-11 20:33:27.909379,0 days 00:08:35.684548,IRM,32,64,0.23914181589596822,1.3734892931454534,64,0.0016554494318288212,,16,16,2,3,eegnet,0.0006020863519164385,COMPLETE
88,0.470703125,2025-06-12 03:43:17.280108,2025-06-12 03:50:26.953455,0 days 00:07:09.673347,IRM,32,64,0.46638222130008755,1.1848064608228155,64,0.0016174023467235104,,8,16,2,2,eegnet,3.945287424816431e-06,COMPLETE
21,0.466796875,2025-06-11 20:33:27.920109,2025-06-11 20:43:41.596711,0 days 00:10:13.676602,IRM,32,64,0.3257625266030201,0.6421471333170475,64,0.0011119293622627586,,8,16,2,2,eegnet,0.00033232108320318664,COMPLETE
66,0.46484375,2025-06-12 01:29:38.618993,2025-06-12 01:38:45.107507,0 days 00:09:06.488514,IRM,32,64,0.2005494099287281,7.966406247704325,64,0.002119577764199702,,8,16,2,2,eegnet,0.0008115172487543979,PRUNED
48,0.462890625,2025-06-11 23:35:53.450418,2025-06-11 23:44:15.433941,0 days 00:08:21.983523,IRM,32,128,0.4240676783101265,1.9451592396478192,64,0.001353649317451904,,8,32,2,1,eegnet,0.0006854271462450996,COMPLETE
