number,value,datetime_start,datetime_complete,duration,params_algorithm,params_batch_size,params_d_model,params_depth_multiplier,params_dropout,params_irm_lambda,params_kernel_length,params_lr,params_mixup_alpha,params_n_filters_1,params_n_filters_2,params_n_head,params_n_layers,params_net_architecture,params_weight_decay,state
44,0.9607843137254902,2025-06-12 22:38:17.707348,2025-06-12 23:01:40.195845,0 days 00:23:22.488497,IRM,32,128,,0.26400373511038516,0.17958663117725274,32,0.00038600837298790604,,32,64,2,3,eegnet,7.319033736397089e-05,COMPLETE
45,0.9607843137254902,2025-06-12 23:01:40.206486,2025-06-12 23:22:02.114832,0 days 00:20:21.908346,IRM,32,128,,0.2782116900334291,0.24919311887293075,32,0.000455211310971431,,32,64,2,3,eegnet,0.00010537066809053945,COMPLETE
64,0.9607843137254902,2025-06-13 01:13:19.463273,2025-06-13 01:38:00.126110,0 days 00:24:40.662837,IRM,32,128,,0.2742823254175221,0.24073472863658646,32,0.00045552798283439693,,32,64,2,3,eegnet,9.673490438986906e-05,COMPLETE
33,0.9607843137254902,2025-06-12 16:04:43.383405,2025-06-12 16:21:43.048276,0 days 00:16:59.664871,IRM,32,128,,0.2621421254753276,0.11099961206689432,32,0.00043220387946131945,,32,64,2,3,eegnet,5.918482958388528e-05,COMPLETE
25,0.9607843137254902,2025-06-12 14:14:23.509773,2025-06-12 14:38:14.156077,0 days 00:23:50.646304,IRM,32,128,,0.25367661444952494,0.10064894807090656,32,0.0002632176044041762,,32,64,2,3,eegnet,3.65116849414079e-06,COMPLETE
37,0.9607843137254902,2025-06-12 21:55:56.141672,2025-06-12 22:16:45.549857,0 days 00:20:49.408185,IRM,32,128,,0.2664343569135419,0.20047745469827996,32,0.00041648465524312533,,32,64,2,3,eegnet,8.642159019939702e-05,COMPLETE
36,0.9607843137254902,2025-06-12 21:36:15.049822,2025-06-12 21:55:56.127047,0 days 00:19:41.077225,IRM,32,128,,0.256652081095089,0.175203388592276,32,0.00046108962843899244,,32,64,2,3,eegnet,5.4721238015954304e-05,COMPLETE
22,0.9607843137254902,2025-06-12 13:08:41.381516,2025-06-12 13:34:20.478756,0 days 00:25:39.097240,IRM,32,128,,0.32879707437412026,0.10446185652666944,32,0.0007389162414502117,,32,64,2,3,eegnet,1.7840265016660176e-05,COMPLETE
66,0.9607843137254902,2025-06-13 01:44:02.004415,2025-06-13 02:12:10.283941,0 days 00:28:08.279526,IRM,32,128,,0.30896830583711693,0.40775865645108633,32,0.00041473570437172615,,32,64,2,3,eegnet,0.00012118376626735706,COMPLETE
32,0.9509803921568627,2025-06-12 15:43:24.820270,2025-06-12 16:04:43.331060,0 days 00:21:18.510790,IRM,32,128,,0.30963584407819056,0.10015819588131288,32,0.000647959912330641,,32,64,2,3,eegnet,2.004048676869407e-05,COMPLETE
