number,value,datetime_start,datetime_complete,duration,params_algorithm,params_attn_d_model,params_attn_n_head,params_attn_n_layers,params_batch_size,params_coral_lambda,params_dro_eta,params_dropout,params_eegnet_depth_multiplier,params_eegnet_kernel_length,params_eegnet_n_filters_1,params_irm_lambda,params_lr,params_meegnet_n_filters_1,params_meegnet_n_filters_2,params_mixup_alpha,params_mmd_lambda,params_net_architecture,params_weight_decay,state
36,0.53515625,2025-06-13 21:33:13.819518,2025-06-13 21:48:47.563822,0 days 00:15:33.744304,CORAL,128,2,1,32,0.1839628528840929,0.03148837863304346,0.1293469962615762,4,64,32,0.5600425342872103,0.0023807198829467087,16,128,0.28094198521483443,4.413614679072384,eegnet,5.228128380263764e-05,COMPLETE
102,0.53125,2025-06-14 02:01:48.887288,2025-06-14 02:11:10.352147,0 days 00:09:21.464859,MMD,128,2,2,32,1.9018458740038506,0.05849748696900634,0.12421699417832459,2,64,16,4.808350296506256,0.004795684788603329,64,64,0.24162975114276783,0.5617312054837154,eegnet,1.2421203360147557e-05,COMPLETE
112,0.52734375,2025-06-14 03:02:32.748840,2025-06-14 03:11:24.616830,0 days 00:08:51.867990,MMD,128,2,2,32,2.572113252356437,0.06303674540902807,0.44470302749754753,2,64,16,0.5054707182325828,0.005720587782642697,64,64,0.4551266063311324,0.47233005767691155,eegnet,4.197135229543361e-05,COMPLETE
104,0.52734375,2025-06-14 02:13:57.703852,2025-06-14 02:24:11.115530,0 days 00:10:13.411678,MMD,128,2,2,32,1.7333072022506286,0.0636305580625717,0.14357787647417367,2,64,16,7.417159236239201,0.0040936903533590205,64,64,0.463653866584186,0.47191743959126503,eegnet,1.838166481807695e-05,COMPLETE
21,0.5234375,2025-06-13 20:08:33.937686,2025-06-13 20:17:27.809659,0 days 00:08:53.871973,CORAL,128,2,2,64,0.22429663011346368,0.09124537562273742,0.19207521381002507,2,64,32,0.7051346565826415,0.005558618934107666,16,64,0.28025626205510323,0.4371390838665356,eegnet,1.2566446707113883e-05,COMPLETE
88,0.5234375,2025-06-14 00:28:40.725601,2025-06-14 00:37:39.563854,0 days 00:08:58.838253,MMD,128,2,1,32,1.827253238889789,0.05401701599142185,0.1344610573097868,2,64,16,0.7346224172632223,0.004100533688933321,64,128,0.2542299482724416,0.41335478824420246,eegnet,2.3271655916010702e-05,COMPLETE
145,0.5234375,2025-06-14 05:51:17.948176,2025-06-14 06:02:36.824989,0 days 00:11:18.876813,MMD,128,2,2,32,5.357110356649091,0.06721426625142855,0.12151817463824723,2,64,16,6.557529499017182,0.0034783988900018987,64,64,0.4742933204637117,0.5851002275869818,eegnet,1.2370931468765208e-05,COMPLETE
94,0.51953125,2025-06-14 01:21:08.523331,2025-06-14 01:30:23.366088,0 days 00:09:14.842757,MMD,128,4,2,32,4.850174667718212,0.059464825669808666,0.11196827984543758,2,64,16,0.5109180625873772,0.004856288956650322,64,128,0.2454743471702575,0.28075034117175274,eegnet,2.960057968617349e-05,COMPLETE
120,0.51953125,2025-06-14 04:05:42.580775,2025-06-14 04:15:58.722382,0 days 00:10:16.141607,MMD,128,2,2,32,1.8067049288608266,0.06543249338795314,0.34500205322799904,2,64,16,0.6163954902641672,0.006384061602029269,64,64,0.4992652852708491,0.4211563034245303,eegnet,2.7192597326025376e-05,COMPLETE
87,0.51953125,2025-06-14 00:19:27.600274,2025-06-14 00:28:40.713041,0 days 00:09:13.112767,MMD,128,2,1,32,1.7280970339496036,0.04721742208098309,0.13857948085103125,2,64,16,0.6850018365885878,0.003845323862461828,64,128,0.27977899992154515,0.4160327663581558,eegnet,2.2664191274647063e-05,COMPLETE
132,0.515625,2025-06-14 04:53:04.154043,2025-06-14 05:04:47.603303,0 days 00:11:43.449260,MMD,128,2,2,32,7.935347983683084,0.09272212655303748,0.17194595665291917,2,64,16,7.082197765387733,0.004599657004339235,32,64,0.24624522238399926,0.4243074950437855,eegnet,6.25433370441988e-05,COMPLETE
105,0.51171875,2025-06-14 02:24:11.126180,2025-06-14 02:31:12.060468,0 days 00:07:00.934288,MMD,128,2,2,32,2.023077852160666,0.06403728192934942,0.14303061139028986,2,64,16,7.218896547892944,0.004223920361535228,64,64,0.4593294787620669,0.5442874572541949,eegnet,1.943165864189449e-05,COMPLETE
26,0.51171875,2025-06-13 20:38:11.862560,2025-06-13 20:48:10.683374,0 days 00:09:58.820814,CORAL,128,2,1,64,0.21413675394967707,0.03792133659879329,0.15096674387271036,4,64,32,2.203191695775456,0.002576955918895441,16,128,0.30465981132196196,0.8308433413639653,eegnet,1.2775115099659718e-05,COMPLETE
114,0.5078125,2025-06-14 03:17:03.370347,2025-06-14 03:27:20.060900,0 days 00:10:16.690553,MMD,128,2,2,32,1.5284229743551827,0.051721068212590385,0.3644491527940525,2,64,16,0.6689060510061217,0.006524113959535569,64,64,0.4725989129975205,0.5983350242674272,eegnet,5.735273116893077e-05,COMPLETE
