number,value,datetime_start,datetime_complete,duration,params_algorithm,params_attn_d_model,params_attn_n_head,params_attn_n_layers,params_batch_size,params_coral_lambda,params_dro_eta,params_dropout,params_eegnet_depth_multiplier,params_eegnet_kernel_length,params_eegnet_n_filters_1,params_irm_lambda,params_lr,params_meegnet_n_filters_1,params_meegnet_n_filters_2,params_mixup_alpha,params_mmd_lambda,params_net_architecture,params_weight_decay,state
0,0.9215686274509803,2025-06-14 10:14:16.314061,2025-06-14 10:19:26.304455,0 days 00:05:09.990394,MMD,64,2,1,32,0.5614043348903426,0.03340208709713736,0.1918969599134589,2,32,16,0.3222886611897987,0.0065380720660812,64,64,0.3698278052643935,0.11512483627021951,eegnet,6.936085759328465e-05,COMPLETE
67,0.8725490196078431,2025-06-14 11:01:00.385513,2025-06-14 11:04:37.711198,0 days 00:03:37.325685,MMD,64,2,2,32,0.8555022985236853,0.058595799829736527,0.3392198621821662,4,32,16,5.576180407960094,0.005167696754810276,64,64,0.48941497412086227,0.17952992444469054,eegnet,3.355894227588524e-05,PRUNED
20,0.3333333333333333,2025-06-14 10:27:11.711838,2025-06-14 10:28:51.094682,0 days 00:01:39.382844,MMD,64,2,2,32,9.549458898329963,0.027212575752269104,0.16840263791908971,2,32,16,0.24360726728671794,0.009612034252392172,64,64,0.19532096038531627,0.2830483101948356,meegnet,9.74681943437318e-05,COMPLETE
21,0.3333333333333333,2025-06-14 10:28:51.106123,2025-06-14 10:30:29.170850,0 days 00:01:38.064727,MMD,64,2,2,32,8.993655398142758,0.027902442752702723,0.16802508267824237,2,32,16,0.24513244092877626,0.008866006333341536,64,64,0.18990633345503427,0.26826776690484455,meegnet,0.00012835174158690302,COMPLETE
72,0.3333333333333333,2025-06-14 11:08:33.843057,2025-06-14 11:10:11.171931,0 days 00:01:37.328874,MMD,64,2,2,32,4.122380739678543,0.03097056338652509,0.15799641516407473,2,32,16,0.31855567106552335,0.007156262592451654,64,64,0.19515905246207227,0.16956176513443064,meegnet,0.00015927683434385645,COMPLETE
3,0.3333333333333333,2025-06-14 10:21:49.410293,2025-06-14 10:23:29.451573,0 days 00:01:40.041280,ERM,128,2,1,32,0.7098117919165283,0.07975724889664061,0.49507936429579336,2,32,16,0.33179171417227854,0.0010286483444580166,64,64,0.45899049192345853,0.22438389980062176,meegnet,0.00023001646444490182,COMPLETE
41,0.3333333333333333,2025-06-14 10:40:14.153164,2025-06-14 10:41:51.505572,0 days 00:01:37.352408,MMD,64,2,3,32,4.771951044218137,0.03871108118998285,0.19532636743782833,2,32,16,0.4617833400711689,0.009749322862759287,64,64,0.21812452598658089,0.17025240470158026,meegnet,5.736248051031227e-05,COMPLETE
57,0.3333333333333333,2025-06-14 10:52:20.201767,2025-06-14 10:54:17.866267,0 days 00:01:57.664500,MMD,128,2,1,64,0.48389817752482966,0.09149794910888913,0.21629408469594685,4,32,16,0.8050477429051734,0.005832627794812291,16,64,0.4691442201342132,0.49309922514947435,meegnet,0.00014575244931818297,COMPLETE
65,0.3333333333333333,2025-06-14 10:58:30.495865,2025-06-14 11:00:47.554625,0 days 00:02:17.058760,Mixup,64,2,2,128,9.831351261568805,0.03965931652811332,0.18004737220873956,2,32,16,0.19245853494022175,0.0028318965955373464,32,64,0.252141646485634,0.5850796008304667,meegnet,6.804555526281074e-05,COMPLETE
59,0.3333333333333333,2025-06-14 10:54:22.842758,2025-06-14 10:56:01.480564,0 days 00:01:38.637806,MMD,64,2,1,32,0.3529528659067989,0.019788992205045458,0.37016617929892415,2,32,8,0.11742720101828699,0.006791632949483035,64,32,0.227933055335048,0.23691039059811406,meegnet,0.0003705866841900848,COMPLETE
64,0.3333333333333333,2025-06-14 10:56:51.619831,2025-06-14 10:58:30.484676,0 days 00:01:38.864845,MMD,64,2,2,32,8.61231448343297,0.03364921965316955,0.13766539942045947,2,32,16,0.21655706114585888,0.007650965884439738,64,64,0.12957904447982788,0.2460224036924189,meegnet,8.939609124548717e-05,COMPLETE
68,0.3333333333333333,2025-06-14 11:04:37.726573,2025-06-14 11:06:34.533515,0 days 00:01:56.806942,CORAL,128,2,1,64,3.4424709804087055,0.07668209409384258,0.14584649805537853,2,32,32,0.14785378255378845,0.008881197665650773,64,128,0.18623868902742993,0.21051590652246377,meegnet,0.00011093402770868858,COMPLETE
53,0.3333333333333333,2025-06-14 10:50:02.102099,2025-06-14 10:51:42.440418,0 days 00:01:40.338319,MMD,64,2,2,32,0.8889307748612332,0.013410561927126398,0.22985842663027464,2,32,16,0.16419260688855328,0.0012248837077954882,64,64,0.36627768355288176,0.22404818621725592,meegnet,0.0006076227515923323,COMPLETE
51,0.3333333333333333,2025-06-14 10:46:44.965364,2025-06-14 10:48:23.229778,0 days 00:01:38.264414,MMD,64,2,2,32,0.7859515884148337,0.011249512862265948,0.27358607059322887,2,32,16,0.1551146172283521,0.009324358341020914,64,64,0.28022288486906055,0.15775042107424084,meegnet,0.0007433144409756124,COMPLETE
31,0.3333333333333333,2025-06-14 10:35:09.047758,2025-06-14 10:36:47.949795,0 days 00:01:38.902037,MMD,64,2,2,32,8.67410254432067,0.028585125733272817,0.15531911683038793,2,32,16,0.2432377250970165,0.008117115787745436,64,64,0.2116758320468446,0.2546412587950207,meegnet,0.00012598958239500352,COMPLETE
43,0.3333333333333333,2025-06-14 10:42:03.674289,2025-06-14 10:43:41.596126,0 days 00:01:37.921837,MMD,64,2,3,32,9.967935116525359,0.060876786417832424,0.40644278409684265,2,32,16,0.529837006577861,0.004154731316376784,64,64,0.19199034749359312,0.10028646152192588,meegnet,7.721592921400221e-05,COMPLETE
44,0.3333333333333333,2025-06-14 10:43:41.608396,2025-06-14 10:45:21.125451,0 days 00:01:39.517055,MMD,64,2,2,32,8.090999735016693,0.041447761756954644,0.1892464766225418,2,32,16,0.2507393248478317,0.007865106876981848,64,64,0.26700066890502905,0.15237629723201765,meegnet,3.575636305556047e-05,COMPLETE
52,0.3333333333333333,2025-06-14 10:48:23.241132,2025-06-14 10:50:02.091585,0 days 00:01:38.850453,MMD,64,2,2,32,0.9712448092310941,0.01752312631459617,0.19731367598063182,2,32,16,0.12446494227436394,0.009002190339591347,64,64,0.2188753578908169,0.1638238419253114,meegnet,0.0004856358655395399,COMPLETE
24,0.3333333333333333,2025-06-14 10:32:21.761338,2025-06-14 10:34:00.090004,0 days 00:01:38.328666,MMD,64,2,2,32,0.8684796727028785,0.012280963644599066,0.2608945762785056,2,32,16,0.15850463653412222,0.009972215372770633,64,64,0.27534224645752037,0.15957808125439482,meegnet,0.00046186526233146335,COMPLETE
32,0.3333333333333333,2025-06-14 10:36:47.960951,2025-06-14 10:38:27.956495,0 days 00:01:39.995544,MMD,64,2,2,32,4.972554964224652,0.028089345303456897,0.1661389498084,2,32,16,0.20791359539227347,0.007426378557632898,64,64,0.19199795672004422,0.3834996943390304,meegnet,4.143583752736042e-05,COMPLETE
22,0.3333333333333333,2025-06-14 10:30:29.182492,2025-06-14 10:32:09.476566,0 days 00:01:40.294074,MMD,64,2,3,32,5.498644044231755,0.041487946807672905,0.19244195810192166,2,32,16,0.5056245773897274,0.00524075310325552,64,64,0.20555601763761328,0.14707833021941272,meegnet,5.929349215714549e-05,COMPLETE
71,0.3333333333333333,2025-06-14 11:06:58.189960,2025-06-14 11:08:33.833213,0 days 00:01:35.643253,MMD,64,2,2,32,5.323869438013612,0.02897396293199525,0.171633528842299,2,32,16,0.21850183427425987,0.007820463911059653,64,64,0.22967773953831103,0.3854056838090108,meegnet,4.3836355061656554e-05,COMPLETE
124,0.3333333333333333,2025-06-14 11:54:09.560139,2025-06-14 11:55:47.661017,0 days 00:01:38.100878,MMD,64,2,2,32,1.0654635881264705,0.013735863575164696,0.16277527349056042,2,32,16,0.20812744334642835,0.0008463529190102494,64,64,0.20461210174482025,0.2083623659714507,meegnet,7.42300378014832e-05,COMPLETE
122,0.3333333333333333,2025-06-14 11:50:39.948872,2025-06-14 11:52:18.062360,0 days 00:01:38.113488,MMD,64,2,2,32,0.7420502377915382,0.01640749514571194,0.19858338936986303,2,32,16,0.1280701250091893,0.00903049472060199,64,64,0.17908868649344525,0.1581007953228707,meegnet,0.00029169860823940433,COMPLETE
132,0.3333333333333333,2025-06-14 11:58:46.071633,2025-06-14 12:00:25.059700,0 days 00:01:38.988067,MMD,64,2,2,32,0.890338188474439,0.011588599214024942,0.22297373470184434,2,32,16,0.16214669356776626,0.00997867322276469,64,64,0.2917410536645193,0.1636307495811861,meegnet,0.000940902548879912,COMPLETE
